"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","Consensus"
"0be9d3798aaf50513c21d37ad2f20842","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCP clade","Bilateria","Protostomia","Lophotrochozoa","Annelida","Polychaeta","Scolecida","Spionida","Rhynchospio glutaea","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0c03899ed0294b3facd6acc42cc26564","Eukaryota","Amorphea","Obazoa","Opisthokonta","Nucletmycea","Fungi","Mucoromycota","Mucoromycotina","Incertae Sedis","Mucorales","Rhizopodaceae","Rhizopus","Rhizopus stolonifer var. stolonifer","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0c0c7f00043c5a6dcbfcc717cd4e03a1","Eukaryota","SAR","Alveolata","Protalveolata","Syndiniales","Syndiniales Group I","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0c14da0790cb5e990f688ec4877bdc4b","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Chromadorea","Chromadoria","Monhysterida","Linhomoeina","Linhomoeina_infraorder","Siphonolaimoidea","Linhomoeidae","Metalinhomoeus","1"
"0c15a61ae9e25a50fbd630ed27aaa4a5","Eukaryota","Amorphea","Amoebozoa","Incertae Sedis","Breviatea","Subulatomonas","uncultured marine eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0c15a961e947babc7be1b21275070fcf","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Chlorophyceae","Scenedesmus sp. II22","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0c1a2130fe9ea70c5f976a9bc7dea118","Eukaryota","Amorphea","Obazoa","Opisthokonta","Nucletmycea","Fungi","Dikarya","Ascomycota","Pezizomycotina","Eurotiomycetes","Eurotiales","Incertae Sedis","Eladia","Penicillium sacculum","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0c1af93a4cf9c7182425d38daf3002b7","Eukaryota","SAR","Stramenopiles","Bicosoecida","P34.6","uncultured Bicosoecida","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0c1f46c3e660c270dbc06d436309fd0c","Eukaryota","Amorphea","Obazoa","Opisthokonta","Nucletmycea","Fungi","LKM15","uncultured Eimeriidae","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0c4581b4f36bee21835e5b7df0154143","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0c5904ee94d384a4b158bdba247cf0b4","Eukaryota","Amorphea","Obazoa","Opisthokonta","Nucletmycea","Fungi","Dikarya","Ascomycota","Pezizomycotina","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium decumbens","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0c5dff002bc084b9db9839eadb43a5da","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Dinophysiales","Sinophysis","uncultured marine eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0c6010042d8509dffbcc6c5e11dea110","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Mamiellophyceae","DSGM-81","uncultured Chlorophyta","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0c6b34b8f7dce9c8d76474378c86b991","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Chromadorea","Chromadoria","Monhysterida","Linhomoeina","Linhomoeina_infraorder","Siphonolaimoidea","Siphonolaimidae","Siphonolaimus","1"
"0c717e48652a33753a77e662988cda2c","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Chromadorea","Chromadoria","Monhysterida","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0c71d2d637d0fc71a67f539fc5c9d93c","Eukaryota","SAR","Rhizaria","Cercozoa","Novel Clade 2","uncultured Cercozoa","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0c75ffa0582cd598fdf5b887135bf42b","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Peridiniphycidae","Thoracosphaeraceae","Scrippsiella","uncultured alveolate","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
